Actor,Movie_Count,Avg_IMDb_Rating
Ford Beebe Jr.,1,7.7
Forest Whitaker,2,7.800000000000001
Franca Marzi,1,8.1
Frances Conroy,1,8.5
Frances McDormand,5,7.92
Frances Sternhagen,1,7.8
Francine Racette,1,8.0
Francis Capra,1,7.8
Francis Huster,1,7.7
Frank Adu,1,7.7
Frank Finlay,1,8.5
Frank Giering,1,7.6
Frank Langella,1,7.7
Frank Lovejoy,1,8.0
Frank Morgan,1,8.1
Frank Overton,1,8.2
Frank Oz,1,7.6
Frank Paur,1,7.8
Frank Sinatra,1,7.9
Frank Vincent,1,8.2
Franka Potente,4,7.7
Frantz Turner,1,8.0
Franz Rogowski,1,7.6
François Berléand,1,7.9
François Cluzet,1,8.5
François Périer,2,8.1
François Truffaut,1,7.6
Fred MacMurray,2,8.3
Fred Willard,1,8.4
Frederic Forrest,2,8.1
Frederick Lau,2,7.6
Fredric March,2,8.05
Freida Pinto,1,8.0
Friedrich Feher,1,8.1
Frédérique Feder,1,8.1
Gabriel Byrne,2,8.1
Gabriele Ferzetti,1,7.9
Gabrielle Anwar,1,8.0
Gael García Bernal,4,7.975
Gajraj Rao,1,8.0
Garrett M. Brown,1,7.6
Gary Busey,1,7.6
Gary Cooper,1,7.9
Gary Farmer,1,7.6
Gary Lockwood,1,8.3
Gary Oldman,6,7.983333333333333
Gary Sinise,2,8.2
Gary Stretch,1,7.6
Gaspard Manesse,1,8.0
Gaspard Ulliel,1,7.6
Gastone Moschin,1,8.0
Gastón Pauls,1,7.9
Gattlin Griffith,1,7.7
Gayatri Joshi,1,8.2
Gaylen Ross,1,7.9
Geert Van Rampelberg,1,7.7
Gemma Jones,1,7.7
Gena Rowlands,3,7.866666666666667
Gene Bervoets,1,7.7
Gene Hackman,6,7.816666666666666
Gene Kelly,3,8.233333333333334
Gene Lockhart,2,7.9
Gene Tierney,1,8.0
Gene Wilder,3,7.833333333333333
Geneviève Page,1,7.7
Geoffrey Arend,1,7.7
Geoffrey Rush,4,7.875
George C. Scott,3,8.1
George Clooney,4,7.75
George Cukor,2,8.05
George Harrison,1,7.6
George Kennedy,1,8.1
George MacKay,2,8.100000000000001
George Macready,2,8.05
George O'Brien,1,8.1
George Peppard,1,7.6
George Raft,1,8.2
George Sanders,2,8.149999999999999
George Segal,1,8.0
Georges Adet,1,7.7
Georges Siatidis,1,7.9
Gerald R. Molen,1,8.0
Geraldine Chaplin,1,8.0
Gerard Butler,3,7.833333333333333
Gerard Hendrick,1,7.8
Gerardo Taracena,1,7.8
Gerd Oswald,1,7.8
Gerry Robert Byrne,1,8.3
Gert Fröbe,1,7.7
Gian Maria Volontè,2,8.15
Gil Birmingham,1,7.6
Gillian Anderson,1,7.7
Gina Torres,1,7.8
Ginnifer Goodwin,2,7.9
Giorgi Nakashidze,1,8.2
Giorgio Cantarini,1,8.6
Giovanni Ribisi,1,7.7
Giulietta Masina,2,8.05
Giuseppe Battiston,1,7.8
Giustino Durano,1,8.6
Gladys George,1,8.0
Glen Cavender,1,8.1
Glen Hansard,1,7.8
Glenn Ford,1,7.7
Gloria Grahame,1,8.0
Gloria Stuart,1,7.7
Gloria Swanson,1,8.4
Glynis Johns,1,7.8
